delta,score_a,score_b,cluster_id,cluster_label,desc_len
-0.03550774,0.62216663,0.5866589,6,Product Management,500
-0.012318909,0.66414344,0.65182453,5,Frontend / Mobile,4273
0.02685827,0.6612203,0.6880786,2,Machine Learning / AI,500
0.022252798,0.5609156,0.5831684,1,Data & Analytics,500
-0.02684784,0.6019868,0.575139,0,Data Engineering,500
-0.038520783,0.5247701,0.4862493,1,Data & Analytics,388
0.08823705,0.57273024,0.6609673,3,DevOps / SRE / Cloud,500
0.018628776,0.6188424,0.6374712,3,DevOps / SRE / Cloud,500
-0.044106603,0.6573619,0.6132553,6,Product Management,500
0.08291209,0.5302406,0.6131527,1,Data & Analytics,500
-0.0321694,0.61199296,0.57982355,7,Design / UX,500
0.0519377,0.614612,0.6665497,3,DevOps / SRE / Cloud,500
-0.05750674,0.63586575,0.578359,6,Product Management,500
0.061188877,0.5628906,0.62407947,7,Design / UX,4301
0.0014483929,0.630603,0.6320514,1,Data & Analytics,500
0.011141241,0.5645463,0.5756875,7,Design / UX,500
-0.060884714,0.61521894,0.5543342,7,Design / UX,500
-0.07720381,0.6854169,0.60821307,4,Backend Engineering,500
0.021749794,0.67632985,0.69807965,2,Machine Learning / AI,500
-0.030751824,0.6680876,0.6373358,6,Product Management,500
-0.0047258735,0.651421,0.64669514,3,DevOps / SRE / Cloud,500
-0.049179435,0.6573527,0.60817325,2,Machine Learning / AI,500
-0.017603457,0.6581408,0.6405373,7,Design / UX,10441
-0.005508542,0.61672664,0.6112181,3,DevOps / SRE / Cloud,500
-0.071331084,0.6808233,0.60949224,6,Product Management,500
0.00249362,0.5824361,0.5849297,7,Design / UX,500
-0.04110384,0.73485404,0.6937502,2,Machine Learning / AI,6974
0.00819999,0.6317704,0.63997036,4,Backend Engineering,429
0.061739564,0.5947091,0.65644866,2,Machine Learning / AI,500
0.014312506,0.6408,0.6551125,5,Frontend / Mobile,4594
-0.05794573,0.6656963,0.6077506,7,Design / UX,6818
-0.052069306,0.6309706,0.5789013,6,Product Management,500
-0.11454296,0.73922825,0.6246853,0,Data Engineering,500
-0.024908662,0.63347197,0.6085633,7,Design / UX,500
0.046504557,0.66989726,0.7164018,3,DevOps / SRE / Cloud,500
0.0064556003,0.5748639,0.5813195,7,Design / UX,500
-0.02853012,0.70430416,0.67577404,6,Product Management,500
-0.0768854,0.6470473,0.5701619,6,Product Management,500
-0.004348159,0.63431466,0.6299665,6,Product Management,500
0.011269331,0.6106786,0.62194794,7,Design / UX,1401
0.023523092,0.5945838,0.6181069,2,Machine Learning / AI,500
-0.058157265,0.61486816,0.5567109,1,Data & Analytics,500
-0.024077356,0.6429601,0.6188827,6,Product Management,500
-0.04006976,0.66522115,0.6251514,6,Product Management,500
0.0069818497,0.5893958,0.5963777,1,Data & Analytics,500
0.08111298,0.6679767,0.74908966,3,DevOps / SRE / Cloud,7071
0.059701562,0.6155334,0.675235,1,Data & Analytics,3538
0.058654726,0.70044744,0.75910217,3,DevOps / SRE / Cloud,500
-0.04949385,0.64310807,0.5936142,4,Backend Engineering,500
-0.036034048,0.6488137,0.6127797,7,Design / UX,8601
-0.020742834,0.6231388,0.60239595,7,Design / UX,500
-0.062277913,0.624873,0.56259507,4,Backend Engineering,389
-0.008127034,0.68783486,0.6797078,2,Machine Learning / AI,500
0.014300287,0.6801422,0.6944425,2,Machine Learning / AI,500
-0.098852456,0.6155512,0.5166987,0,Data Engineering,500
0.0805856,0.5899712,0.6705568,2,Machine Learning / AI,500
0.010649264,0.5396615,0.5503108,7,Design / UX,500
0.022414684,0.63542855,0.65784323,7,Design / UX,500
-0.15689987,0.68819743,0.53129756,0,Data Engineering,500
0.0064248443,0.6043038,0.6107286,7,Design / UX,500
-0.04661119,0.62693304,0.58032185,1,Data & Analytics,5447
-0.1398589,0.6340434,0.4941845,0,Data Engineering,500
-0.07244378,0.60275537,0.5303116,4,Backend Engineering,500
-0.032707572,0.6767417,0.64403415,5,Frontend / Mobile,2388
0.018672764,0.7051026,0.7237754,2,Machine Learning / AI,500
0.01400882,0.54414374,0.55815256,1,Data & Analytics,500
-0.022987902,0.5690262,0.54603827,7,Design / UX,500
-0.084901035,0.72339755,0.6384965,0,Data Engineering,500
-0.18009341,0.7525474,0.572454,0,Data Engineering,500
0.100794196,0.64619654,0.74699074,3,DevOps / SRE / Cloud,500
-0.05679828,0.6194816,0.56268334,7,Design / UX,500
-0.046839356,0.62928194,0.5824426,4,Backend Engineering,500
-0.056878865,0.6915182,0.6346393,6,Product Management,4264
0.045165062,0.6188112,0.66397625,2,Machine Learning / AI,500
-0.0407722,0.6619127,0.6211405,6,Product Management,500
-0.029760242,0.6385494,0.60878915,4,Backend Engineering,500
-0.04777962,0.6455898,0.5978102,7,Design / UX,500
-0.017706692,0.6115079,0.5938012,7,Design / UX,500
-0.051929176,0.62031627,0.5683871,4,Backend Engineering,500
-0.029578745,0.651455,0.62187624,0,Data Engineering,500
-0.014246106,0.6110214,0.5967753,1,Data & Analytics,500
0.01507473,0.6033514,0.61842614,7,Design / UX,1949
0.011954963,0.6734883,0.6854433,2,Machine Learning / AI,500
0.06633824,0.6383083,0.7046465,2,Machine Learning / AI,500
-0.087340415,0.6384977,0.5511573,6,Product Management,500
0.06351876,0.6599138,0.72343254,3,DevOps / SRE / Cloud,500
0.11039448,0.626433,0.7368275,2,Machine Learning / AI,500
-0.030650198,0.6643233,0.6336731,7,Design / UX,500
-0.03519976,0.66133237,0.6261326,7,Design / UX,500
-0.06368053,0.6489621,0.58528155,0,Data Engineering,500
-0.038214147,0.63054913,0.592335,4,Backend Engineering,500
-0.04452932,0.63023394,0.5857046,6,Product Management,500
-0.11574596,0.6660526,0.5503066,0,Data Engineering,500
0.06598002,0.692244,0.758224,3,DevOps / SRE / Cloud,500
0.080528796,0.564276,0.6448048,2,Machine Learning / AI,500
-0.030461133,0.65092,0.62045884,5,Frontend / Mobile,2318
-0.023862422,0.6507919,0.62692946,7,Design / UX,500
0.02356726,0.65856487,0.6821321,5,Frontend / Mobile,4452
-0.07874417,0.6134327,0.53468853,0,Data Engineering,500
-0.061879158,0.6861858,0.6243066,4,Backend Engineering,500
0.03938985,0.72798586,0.7673757,2,Machine Learning / AI,4294
-0.017132998,0.56914705,0.55201405,7,Design / UX,500
-0.03711915,0.6386012,0.60148203,6,Product Management,500
0.046702683,0.44634128,0.49304396,1,Data & Analytics,500
-0.08561641,0.6332861,0.5476697,1,Data & Analytics,500
0.023858309,0.5860087,0.60986704,4,Backend Engineering,500
-0.048552692,0.5424169,0.49386418,1,Data & Analytics,500
0.047323287,0.6226167,0.66994,2,Machine Learning / AI,500
0.0002590418,0.64101046,0.6412695,1,Data & Analytics,500
-0.02892667,0.67480373,0.64587706,2,Machine Learning / AI,500
-0.16609734,0.7399913,0.57389396,0,Data Engineering,500
-0.0015876889,0.69383264,0.69224495,2,Machine Learning / AI,500
-0.048345566,0.63830656,0.589961,4,Backend Engineering,497
-0.033232212,0.65827566,0.62504345,6,Product Management,500
-0.023865104,0.6743507,0.6504856,2,Machine Learning / AI,500
-0.02240926,0.672321,0.64991176,6,Product Management,500
-0.04077655,0.6659956,0.62521905,1,Data & Analytics,500
-0.04472363,0.66728973,0.6225661,5,Frontend / Mobile,4621
-0.051302135,0.605667,0.55436486,1,Data & Analytics,5206
0.020462751,0.670563,0.69102573,3,DevOps / SRE / Cloud,500
-0.06413561,0.6448518,0.5807162,1,Data & Analytics,500
0.09965998,0.65976423,0.7594242,3,DevOps / SRE / Cloud,500
0.014639378,0.55324507,0.56788445,1,Data & Analytics,500
0.03924656,0.66469246,0.703939,3,DevOps / SRE / Cloud,500
-0.074953556,0.65774655,0.582793,4,Backend Engineering,500
-0.036848843,0.6186801,0.5818313,6,Product Management,500
-0.048249304,0.6375996,0.5893503,6,Product Management,500
-0.008856952,0.65164196,0.642785,7,Design / UX,5913
-0.08882171,0.7381149,0.6492932,0,Data Engineering,3517
0.017948389,0.66629344,0.68424183,2,Machine Learning / AI,500
-0.027596414,0.6432119,0.6156155,4,Backend Engineering,500
-0.04370916,0.6264966,0.58278745,7,Design / UX,500
-0.0037322044,0.6604807,0.6567485,1,Data & Analytics,7524
0.1292392,0.657309,0.7865482,3,DevOps / SRE / Cloud,500
-0.008099318,0.61035615,0.60225683,7,Design / UX,500
-0.03814888,0.5914614,0.55331254,4,Backend Engineering,500
0.09825069,0.60907286,0.70732355,2,Machine Learning / AI,500
-0.15502787,0.7746898,0.6196619,0,Data Engineering,500
0.06775653,0.65196043,0.71971697,3,DevOps / SRE / Cloud,500
-0.004190564,0.6078852,0.6036946,1,Data & Analytics,500
0.0028307438,0.65463096,0.6574617,7,Design / UX,500
-0.02717805,0.618611,0.5914329,6,Product Management,500
-0.0138322115,0.6145685,0.60073626,4,Backend Engineering,500
0.028834283,0.61396855,0.64280283,1,Data & Analytics,4685
0.015192568,0.64444274,0.6596353,1,Data & Analytics,6657
0.059788644,0.5291589,0.58894753,1,Data & Analytics,500
0.038022578,0.6950971,0.73311967,2,Machine Learning / AI,500
0.15879208,0.63031757,0.78910965,2,Machine Learning / AI,500
-0.07887071,0.6927731,0.6139024,6,Product Management,500
-0.032242894,0.6651621,0.6329192,6,Product Management,7512
-0.06827563,0.699422,0.6311464,6,Product Management,500
-0.03231305,0.61651945,0.5842064,6,Product Management,500
-0.00359416,0.62383574,0.6202416,1,Data & Analytics,2845
-0.06647313,0.6246853,0.55821216,4,Backend Engineering,500
-0.056489527,0.5939972,0.53750765,4,Backend Engineering,500
-0.067242384,0.6979084,0.630666,6,Product Management,500
-0.022479117,0.62856036,0.60608125,2,Machine Learning / AI,500
-0.005508542,0.61672664,0.6112181,3,DevOps / SRE / Cloud,500
-0.03544545,0.5923137,0.55686826,6,Product Management,500
-0.054163158,0.58583975,0.5316766,6,Product Management,500
-0.016520977,0.5975524,0.58103144,1,Data & Analytics,500
0.0119645,0.64284956,0.65481406,1,Data & Analytics,7362
0.062462628,0.6593461,0.72180873,3,DevOps / SRE / Cloud,500
-0.01761502,0.59565234,0.5780373,1,Data & Analytics,500
-0.030518472,0.6603098,0.6297913,1,Data & Analytics,500
0.045365393,0.65591276,0.70127815,2,Machine Learning / AI,500
0.076535225,0.63347787,0.7100131,2,Machine Learning / AI,500
-0.08624452,0.687602,0.60135746,0,Data Engineering,500
-0.052859485,0.6580174,0.6051579,7,Design / UX,500
-0.024096966,0.6525038,0.6284068,6,Product Management,500
-0.0013003945,0.5808835,0.5795831,6,Product Management,500
-0.09220272,0.6897872,0.5975845,0,Data Engineering,500
0.014010131,0.6414282,0.6554383,3,DevOps / SRE / Cloud,500
-0.054618,0.7008745,0.6462565,4,Backend Engineering,500
-0.15232307,0.7122272,0.55990416,0,Data Engineering,500
0.045953333,0.6438951,0.6898484,2,Machine Learning / AI,500
-0.036770344,0.519024,0.48225367,6,Product Management,500
-0.025699198,0.61277205,0.58707285,1,Data & Analytics,500
0.07049233,0.6156525,0.6861448,2,Machine Learning / AI,500
-0.067040265,0.6458847,0.5788444,4,Backend Engineering,500
-0.015514195,0.62521005,0.60969585,4,Backend Engineering,500
-0.048962653,0.6363816,0.587419,6,Product Management,500
-0.06282824,0.6463085,0.58348024,4,Backend Engineering,500
0.055285275,0.61803216,0.67331743,2,Machine Learning / AI,500
0.033269525,0.5534206,0.5866901,1,Data & Analytics,500
0.10253638,0.6252573,0.7277937,2,Machine Learning / AI,500
0.009190738,0.64555854,0.6547493,2,Machine Learning / AI,500
0.009122252,0.64956594,0.6586882,3,DevOps / SRE / Cloud,500
-0.023236454,0.5842904,0.56105393,2,Machine Learning / AI,500
-0.062431037,0.6264475,0.56401646,7,Design / UX,500
-0.098876834,0.6387905,0.53991365,7,Design / UX,500
0.058080673,0.532297,0.5903777,1,Data & Analytics,500
-0.021146417,0.6068409,0.5856945,6,Product Management,500
-0.03543526,0.6486118,0.6131765,4,Backend Engineering,500
-0.0527305,0.6630986,0.6103681,6,Product Management,500
0.028333962,0.6750828,0.70341676,2,Machine Learning / AI,500
-0.078296006,0.6243298,0.5460338,0,Data Engineering,500
-0.044341266,0.6543425,0.6100012,1,Data & Analytics,500
0.049286783,0.6040169,0.6533037,1,Data & Analytics,10232
-0.054208696,0.6395738,0.5853651,6,Product Management,500
0.03566599,0.65388626,0.68955225,7,Design / UX,500
-0.054821134,0.66161025,0.6067891,7,Design / UX,500
-0.06794459,0.6390038,0.5710592,7,Design / UX,500
-0.045287788,0.67732936,0.6320416,5,Frontend / Mobile,4613
0.040329456,0.5623624,0.6026918,7,Design / UX,500
0.004676342,0.6522153,0.65689164,6,Product Management,500
-0.0729599,0.6907925,0.6178326,6,Product Management,500
-0.03275323,0.6653372,0.632584,3,DevOps / SRE / Cloud,500
-0.009073794,0.657616,0.6485422,1,Data & Analytics,500
0.026674926,0.5644475,0.59112245,7,Design / UX,798
-0.027657628,0.5813594,0.55370176,1,Data & Analytics,500
-0.028877318,0.5367737,0.50789636,7,Design / UX,500
-0.0019258261,0.68502396,0.68309814,3,DevOps / SRE / Cloud,500
-0.08524346,0.6591471,0.5739036,6,Product Management,500
-0.14234239,0.7416393,0.5992969,0,Data Engineering,500
-0.09443903,0.6979065,0.60346746,7,Design / UX,500
-6.7055225e-05,0.53850424,0.5384372,1,Data & Analytics,500
0.07063073,0.6417616,0.71239233,2,Machine Learning / AI,500
-0.02718091,0.68077,0.65358907,7,Design / UX,500
-0.0002577901,0.64627105,0.64601326,1,Data & Analytics,5776
-0.019658685,0.64023304,0.62057436,2,Machine Learning / AI,500
-6.425381e-05,0.62596595,0.6259017,1,Data & Analytics,500
0.14997941,0.5805497,0.7305291,3,DevOps / SRE / Cloud,500
-0.03344676,0.52320933,0.48976257,1,Data & Analytics,500
-0.07453716,0.6528421,0.57830495,6,Product Management,500
0.079692304,0.651977,0.7316693,3,DevOps / SRE / Cloud,500
-0.06584209,0.5944157,0.52857363,0,Data Engineering,500
0.10436189,0.6877428,0.7921047,3,DevOps / SRE / Cloud,500
-0.0726459,0.6415142,0.5688683,4,Backend Engineering,291
0.065161586,0.6857508,0.75091237,7,Design / UX,6157
-0.09206027,0.7024575,0.6103972,7,Design / UX,500
-0.019021928,0.6305062,0.6114843,1,Data & Analytics,500
-0.011070967,0.51094574,0.49987477,1,Data & Analytics,500
-0.014287651,0.63090855,0.6166209,7,Design / UX,500
-0.022158563,0.6215862,0.59942764,4,Backend Engineering,500
-0.031143963,0.639762,0.608618,6,Product Management,500
-0.0042089224,0.59516144,0.5909525,1,Data & Analytics,500
0.002729535,0.5272452,0.52997476,1,Data & Analytics,500
0.016188085,0.6659325,0.68212056,3,DevOps / SRE / Cloud,500
0.016183436,0.59487814,0.6110616,1,Data & Analytics,500
0.016226888,0.64841396,0.66464084,7,Design / UX,500
0.09036583,0.6550643,0.7454301,3,DevOps / SRE / Cloud,500
-0.07886785,0.66511345,0.5862456,6,Product Management,500
-0.011294007,0.6030974,0.5918034,7,Design / UX,500
-0.00994885,0.65256417,0.6426153,5,Frontend / Mobile,4594
-0.04424143,0.6406961,0.5964547,1,Data & Analytics,12130
-0.08464235,0.5723415,0.48769915,1,Data & Analytics,500
-0.0056351423,0.6313951,0.62575996,1,Data & Analytics,6233
-0.0049563646,0.64227164,0.6373153,1,Data & Analytics,500
-0.01742959,0.57642657,0.558997,1,Data & Analytics,500
-0.004075289,0.6764548,0.6723795,2,Machine Learning / AI,500
-0.037632585,0.6185049,0.5808723,6,Product Management,500
-0.021261692,0.575751,0.5544893,5,Frontend / Mobile,500
-0.04795009,0.6163104,0.5683603,4,Backend Engineering,500
0.090746164,0.64495945,0.7357056,3,DevOps / SRE / Cloud,500
0.14437777,0.6082016,0.7525794,2,Machine Learning / AI,500
-0.015738308,0.69129306,0.67555475,6,Product Management,2989
0.08406323,0.6077874,0.6918506,2,Machine Learning / AI,500
0.04007989,0.59474224,0.63482213,7,Design / UX,3281
-0.06011623,0.57019156,0.51007533,6,Product Management,500
0.07119769,0.5840628,0.6552605,2,Machine Learning / AI,500
-0.03808093,0.60239786,0.5643169,4,Backend Engineering,500
-0.068853796,0.6495917,0.5807379,7,Design / UX,500
-0.006845534,0.61878806,0.6119425,6,Product Management,500
0.057028472,0.61510223,0.6721307,2,Machine Learning / AI,500
0.082396805,0.61386573,0.69626254,2,Machine Learning / AI,500
-0.0549587,0.6785132,0.6235545,1,Data & Analytics,500
-0.0056111217,0.6479195,0.64230835,2,Machine Learning / AI,500
-0.010988414,0.6317685,0.6207801,4,Backend Engineering,500
-0.057986557,0.6258146,0.56782806,1,Data & Analytics,500
0.13784468,0.6231484,0.76099306,2,Machine Learning / AI,500
0.04252577,0.64339644,0.6859222,2,Machine Learning / AI,500
-0.079796135,0.64885086,0.5690547,4,Backend Engineering,500
0.0006945133,0.63279337,0.6334879,4,Backend Engineering,500
0.028172195,0.64445305,0.67262524,7,Design / UX,2309
-0.06635606,0.61885303,0.55249697,4,Backend Engineering,500
-0.041915774,0.66475344,0.62283766,7,Design / UX,500
-0.028200746,0.6440237,0.615823,7,Design / UX,8068
0.06847739,0.5837911,0.65226847,2,Machine Learning / AI,500
0.024309635,0.6189171,0.64322674,1,Data & Analytics,500
0.05255568,0.6219261,0.6744818,2,Machine Learning / AI,500
-0.08092505,0.72820914,0.6472841,0,Data Engineering,6797
-0.034752727,0.63441694,0.5996642,0,Data Engineering,500
-0.0132959485,0.5882081,0.57491213,1,Data & Analytics,500
-0.075445056,0.68273586,0.6072908,6,Product Management,500
0.03775221,0.602809,0.6405612,2,Machine Learning / AI,500
-0.030234933,0.6977168,0.66748184,5,Frontend / Mobile,4826
0.13243824,0.63480717,0.7672454,2,Machine Learning / AI,500
-0.069520175,0.662421,0.5929008,6,Product Management,4482
-0.08416861,0.6838616,0.599693,4,Backend Engineering,500
-0.041981697,0.6498292,0.6078475,7,Design / UX,500
-0.05998963,0.687636,0.6276464,7,Design / UX,6582
-0.017714083,0.59581363,0.57809955,7,Design / UX,500
0.045020223,0.608383,0.6534032,2,Machine Learning / AI,500
-0.04458487,0.6260335,0.5814486,4,Backend Engineering,500
-0.055886567,0.67393947,0.6180529,7,Design / UX,500
-0.020723403,0.55386406,0.53314066,4,Backend Engineering,500
-0.049975038,0.6569485,0.60697347,3,DevOps / SRE / Cloud,500
0.009788156,0.6754571,0.6852453,2,Machine Learning / AI,500
-0.05752188,0.66321254,0.60569066,4,Backend Engineering,500
-0.03766173,0.6205891,0.58292735,6,Product Management,500
0.0033477545,0.66037285,0.6637206,5,Frontend / Mobile,4583
-0.0031758547,0.6429103,0.63973445,5,Frontend / Mobile,4599
-0.065806985,0.6693208,0.60351384,4,Backend Engineering,500
-0.055880606,0.68157536,0.62569475,6,Product Management,500
-0.06637472,0.63180274,0.565428,4,Backend Engineering,500
-0.02971226,0.61643976,0.5867275,6,Product Management,500
0.028007925,0.65110993,0.67911786,2,Machine Learning / AI,500
-0.021210253,0.6298854,0.6086751,1,Data & Analytics,5496
0.018047035,0.604442,0.62248904,1,Data & Analytics,500
-0.1251167,0.77681434,0.65169764,6,Product Management,500
-0.01952213,0.674466,0.6549439,3,DevOps / SRE / Cloud,500
-0.024895191,0.6661468,0.6412516,3,DevOps / SRE / Cloud,500
-0.053354084,0.6598738,0.6065197,1,Data & Analytics,7719
-0.06488341,0.6663941,0.6015107,6,Product Management,500
0.060930967,0.6471384,0.7080694,3,DevOps / SRE / Cloud,500
0.013738692,0.71018255,0.72392124,2,Machine Learning / AI,500
0.013867557,0.54644716,0.5603147,1,Data & Analytics,500
0.08129889,0.63784623,0.7191451,2,Machine Learning / AI,500
-0.1217621,0.713457,0.5916949,0,Data Engineering,500
-0.0027424097,0.6382047,0.6354623,6,Product Management,500
-0.013398647,0.65445524,0.6410566,1,Data & Analytics,500
0.027373672,0.69048464,0.7178583,2,Machine Learning / AI,500
-0.015432596,0.5223738,0.5069412,7,Design / UX,1325
0.11945242,0.64653563,0.76598805,3,DevOps / SRE / Cloud,500
-0.026262403,0.67782366,0.65156126,5,Frontend / Mobile,2212
-0.024121463,0.56630373,0.54218227,0,Data Engineering,500
0.07870442,0.56837463,0.64707905,2,Machine Learning / AI,500
-0.013830423,0.60507107,0.59124064,6,Product Management,500
-0.05998218,0.6867927,0.6268105,6,Product Management,500
-0.019984365,0.6507959,0.6308115,5,Frontend / Mobile,4912
-0.038737774,0.64412314,0.60538536,4,Backend Engineering,500
0.007873535,0.6866621,0.6945356,5,Frontend / Mobile,5311
-0.027199447,0.6891852,0.66198575,6,Product Management,500
-0.039049685,0.64847785,0.60942817,6,Product Management,500
-0.012155473,0.64787644,0.63572097,7,Design / UX,500
-0.055700302,0.6638023,0.608102,6,Product Management,8663
-0.08270639,0.646341,0.56363463,4,Backend Engineering,500
0.07899982,0.6784389,0.7574387,3,DevOps / SRE / Cloud,500
-0.044642568,0.6536234,0.60898083,7,Design / UX,500
-0.011889875,0.6371801,0.6252902,6,Product Management,500
-0.071807146,0.5065286,0.43472147,7,Design / UX,500
-0.01807189,0.71355057,0.6954787,3,DevOps / SRE / Cloud,2358
-0.013384104,0.58391136,0.57052726,7,Design / UX,500
0.014080107,0.5839159,0.597996,7,Design / UX,500
0.083599806,0.5801784,0.6637782,2,Machine Learning / AI,500
-0.12003291,0.66370517,0.54367226,0,Data Engineering,500
-0.107694626,0.6749023,0.5672077,1,Data & Analytics,3536
-0.048484147,0.71348023,0.6649961,0,Data Engineering,500
-0.025969684,0.57003856,0.5440689,7,Design / UX,500
-0.05284041,0.64660776,0.59376734,6,Product Management,500
-0.032413065,0.6621836,0.6297705,6,Product Management,500
-0.06688386,0.66602004,0.5991362,4,Backend Engineering,500
-0.16210836,0.7341485,0.57204014,0,Data Engineering,500
-0.028592825,0.6720962,0.64350337,3,DevOps / SRE / Cloud,500
0.118851066,0.6204328,0.73928386,3,DevOps / SRE / Cloud,500
-0.012121677,0.60181403,0.58969235,1,Data & Analytics,500
-0.04221928,0.6368911,0.59467185,7,Design / UX,500
-0.02156049,0.61512625,0.59356576,7,Design / UX,5060
-0.04959351,0.6848536,0.6352601,6,Product Management,500
-0.0383479,0.6595216,0.6211737,1,Data & Analytics,500
0.021529555,0.61626154,0.6377911,7,Design / UX,500
-0.0418061,0.60315794,0.56135184,7,Design / UX,500
-0.028104544,0.58879167,0.5606871,1,Data & Analytics,6701
-0.06879175,0.67860293,0.6098112,4,Backend Engineering,500
-0.04795319,0.6540927,0.60613954,6,Product Management,500
-0.11543167,0.7408952,0.62546355,0,Data Engineering,6595
-0.049432337,0.66145676,0.6120244,0,Data Engineering,500
-0.03915894,0.5656051,0.52644616,1,Data & Analytics,500
-0.032310843,0.61483514,0.5825243,7,Design / UX,500
-0.011709988,0.60362154,0.59191155,7,Design / UX,500
-0.0055927634,0.66938955,0.6637968,7,Design / UX,4905
-0.117242455,0.7368485,0.619606,0,Data Engineering,500
-0.0473004,0.6568151,0.6095147,7,Design / UX,500
-0.033452988,0.5992098,0.5657568,7,Design / UX,3660
0.066673875,0.6349225,0.7015964,3,DevOps / SRE / Cloud,500
-0.06321281,0.67339754,0.6101847,4,Backend Engineering,500
-0.028477907,0.59620005,0.56772214,7,Design / UX,500
0.026551962,0.5516366,0.57818854,7,Design / UX,500
-0.018131971,0.66747594,0.64934397,5,Frontend / Mobile,2773
0.009153426,0.6038298,0.6129832,7,Design / UX,500
-0.06429052,0.68404007,0.61974955,5,Frontend / Mobile,6285
-0.021174967,0.68035394,0.659179,4,Backend Engineering,500
-0.10442948,0.69174266,0.5873132,7,Design / UX,500
-0.010176718,0.6304474,0.62027067,3,DevOps / SRE / Cloud,500
0.004892051,0.5991465,0.60403854,7,Design / UX,500
-0.09117329,0.66571504,0.57454175,0,Data Engineering,500
-0.017959893,0.62030035,0.60234046,6,Product Management,500
0.052841604,0.62728167,0.68012327,3,DevOps / SRE / Cloud,500
-0.17279309,0.77329487,0.6005018,6,Product Management,500
-0.0125796795,0.65086746,0.6382878,6,Product Management,500
-0.0656327,0.57726127,0.51162857,7,Design / UX,500
-0.014654517,0.6215191,0.6068646,1,Data & Analytics,4531
-0.061639547,0.6596283,0.5979887,7,Design / UX,500
-0.033809602,0.6577845,0.6239749,4,Backend Engineering,500
0.0054710507,0.6297406,0.63521165,2,Machine Learning / AI,500
0.03640753,0.5677226,0.60413015,3,DevOps / SRE / Cloud,500
-0.15549803,0.694629,0.539131,0,Data Engineering,500
0.10191256,0.58864135,0.6905539,3,DevOps / SRE / Cloud,500
